title;artist
b'Je Sais Que La Terre Est Plate';b'Rapha\xc3\xabl'
b'On Efface';b'Julie Zenatti'
b'Howells Delight';b'The Baltimore Consort'
b'Martha Served';b'I Hate Sally'
b'Zip-A-Dee-Doo-Dah (Song of the South)';b'Orlando Pops Orchestra'
b'Liquid Time (composition by John Goodsall)';b'Brand X'
b'Misery Path (From the Privilege of Evil)';b'Amorphis'
b'Nuovi Re pt. I I (feat. Tek money - Lady Tambler)';b'Inoki'
b'Halloween';b'Dead Kennedys'
b'Parto em terras distantes';b'Brigada Victor Jara'
b'You Eclipsed By Me (Album Version)';b'Atreyu'
b'Shovel';b'Mistress'
b'What Drives The Weak';b'Shadows Fall'
b'Life Force';b'Vanessa Daou'
b'The Dance Of Europe';b'Dave Brockie Experience'
b'Spoonie Is Back';b'Spoonie Gee'
b'Blood Round Dance Song (World)';b'R. Carlos Nakai'
b'Crawling (Album Version)';b'Linkin Park'
b'Bennie';b'Koffi Olomid\xc3\xa9'
b'Playa del sous-sol';b'Alain-Fran\xc3\xa7ois'
b'Fascinating Rhythm (Instrumental) (2007 Digital Remaster)';b'Billy May & His Orchestra'
"b""I'm Not Moving""";b'Phil Collins'
b'Grand Fr\xc3\xa8re';b'Philippe Sarde'
b'Up Above My Head';b'Sister Rosetta Tharpe & Marie'
b'Columbia';b'Oasis'
b'Radar For Love';b'Kiss'
b'Antarctica Starts Here';b'John Cale'
b'Out In The Street (Live) (2008 Digital Remaster)';b'UFO'
b'Heavy On My Mind (Album Version)';b'Back Door Slam'
b'Everyone make love';b'Cool cavemen'
b'Calm Da Seas';b'Dave Hollister'
b'Ran Kan Kan';b'Nestor Torres'
b'I Found You';b'The Impressions'
b'Afraid Of Change (Tribal Vocal Mix)';b'Casa Bulga'
b'Grow Up_ Grow Old';b'Debbie Davies'
b'Walk Away From Love';b'Willie Clayton'
b'Rainbow Country (Red Gold And Green Version)';b'Bob Marley & The Wailers'
b'Strange Things';b'Tanto Metro & Devonte'
"b""Screamin' & Hollerin' The Blues""";b'Alvin Youngblood Hart'
b'Dholna Dholna';b'Naseebo Lal'
