title;artist;is_hot
Je Sais Que La Terre Est Plate;Rapha\xc3\xal;False
On Efface;Julie Zenatti;False
Howells Delight;The Baltimore Consort;False
Martha Served;I Hate Sally;False
Zip-A-Dee-Doo-Dah (Song of the South);Orlando Pops Orchestra;False
Liquid Time (composition y John Goodsall);Brand X;False
Misery Path (From the Privilege of Evil);Amorphis;False
Nuovi Re pt. I I (feat. Tek money - Lady Tamler);Inoki;False
Halloween;Dead Kennedys;False
Parto em terras distantes;Brigada Victor Jara;False
You Eclipsed By Me (Alum Version);Atreyu;False
Shovel;Mistress;False
What Drives The Weak;Shadows Fall;False
Life Force;Vanessa Daou;False
The Dance Of Europe;Dave Brockie Experience;False
Spoonie Is Back;Spoonie Gee;False
Blood Round Dance Song (World);R. Carlos Nakai;False
Crawling (Alum Version);Linkin Park;False
Bennie;Koffi Olomid\xc3\xa9;False
Playa del sous-sol;Alain-Fran\xc3\xa7ois;False
Fascinating Rhythm (Instrumental) (2007 Digital Remaster);Billy May & His Orchestra;False
"""Im Not Moving""";Phil Collins;False
Grand Fr\xc3\xa8re;Philippe Sarde;False
Up Aove My Head;Sister Rosetta Tharpe & Marie;False
Columia;Oasis;False
Radar For Love;Kiss;False
Antarctica Starts Here;John Cale;False
Out In The Street (Live) (2008 Digital Remaster);UFO;False
Heavy On My Mind (Alum Version);Back Door Slam;False
Everyone make love;Cool cavemen;False
Calm Da Seas;Dave Hollister;False
Ran Kan Kan;Nestor Torres;False
I Found You;The Impressions;False
Afraid Of Change (Trial Vocal Mix);Casa Bulga;False
Grow Up_ Grow Old;Deie Davies;False
Walk Away From Love;Willie Clayton;False
Rainow Country (Red Gold And Green Version);Bo Marley & The Wailers;False
Strange Things;Tanto Metro & Devonte;False
"""Screamin & Hollerin The Blues""";Alvin Younglood Hart;False
Dholna Dholna;Naseeo Lal;False
Parchman Farm;Hot Tuna;False
A Lo Clasico;Daddy Yankee;False
Zhi Xiang Ni hui Yi;Hacken Lee;False
Amaze;Jimmy Riley;False
Radio Rape;The Cortinas;False
"""Aint No Game""";Masta Ace Incorporated;False
Cavaleiro De Aruanda;Jongo Trio;False
TELL ME WHY;George Nooks;False
Czwarty;Energy;False
Washington Post (1998 Digital Remaster);Felix Slatkin/Concert Arts Symphonic Band;False
No Pienses Asi;Eddie Palmieri;False
Cavalleria Rusticana;William Orit;False
Forever;Chris Brown;False
Amor a Medias;HA-ASH;False
15 Step;Radiohead;False
I Love Your Way;Kashief Lindo;False
"""Lookin For Me Somewhere""";BoDeans;False
Raise Your Hands;Bon Jovi;False
Rainow Dance;John Tchicai;False
Champagne & Reefer;Bongzilla;False
"""No More Doggin""";Otis Spann;False
I Need a Veggie;John Holt;False
Get Happy;Danny Wilson;False
"""Ill Wait for You Dear""";Al Dexter;False
From Afar (Alum Version);Van Halen;False
Cry For Love;Capleton;False
Uncle B.S. - 1963;Tim Wilson;False
Woh\xc3\xa4r dr Wind w\xc3\xa4iht;Kisha;False
Volumatic Spacer Device;The Chap;False
Putt Jhatt Da Gulai Phull Varga;DJ Vix;False
Namiia;Ziggy Marley And The Melody Makers;False
Unlearn;Crematorium;False
Vargrodern Talar;M\xc3\xa5negarm;False
Sweet Lady;Ernest Ranglin / Floyd Lloyd;False
Forever;Franco;False
3;Britney Spears;False
Sleuthing;Danny Elfman;False
Meet Me in the City;Junior Kimrough;False
Drama  (LP Version);Liquid Gang;False
Oh What A Feeling;Everly Brothers;False
So hell mit Klause Duo;Flowin Immo et Les Freaqz;False
Concerto For Saxophone (Quartet Version): Movement IV;Philip Glass;False
Llama y Ver\xc3\xa1s;Luis Alerto Spinetta;False
Heyya Heyya;Ramy Ayach;False
Misty Valley;Frank Chacksfield & His Orchestra;False
Sehnsuchtsexpress;Frl.Menke;False
Come Alive;Agnostic Front;False
Spitting Games;Snow Patrol;False
Drones;Rise Against;False
Do Your Will (Alum Version);The Rance Allen Group;False
Check the om;Refractory;False
System of Play;Theodor Zox;False
Trying To Get To Heaven;Bo Dylan;False
Birch;Maximilian Hecker;False
Same Old Thing;Alert Collins;False
Voodoo Doll;Fergie;False
Nerio Compra Una Contestadora;Los Amigos Invisiles;False
Killer (Single Version);Seal;False
Sunset Manifesto;Flink;False
From My Hands;Salt The Wound;False
Tanz;ZENFU;False
Coming Back For More feat. Colin Corvez;Daniel Paul;False
Paradise In Your Eyes;Winston Reedy;False
Isku Pitk\xc3\xa4st\xc3\xa4 Ilosta;Korpiklaani;False
The Way I Am;Eminem;False
One More Ride (Digitally Remastered);Johnny Cash;False
"""Cant Help Falling In Love""";Brian Dullaghan;False
Drunk Driving Tip;Dezz White;False
Que Vuelvas;Shakira;False
"""Im In The Mood For Love""";Roger Williams;False
Yesterdays;Gonzalo Rualcaa;False
Concertino for Bass Tromone and Tromone Choir;David Taylor;False
De Tha Mai Edo;Domna Kountouri;False
"""Rachels retriution""";Anne Dudley;False
"""A Goodnights Sleep""";The Starting Line;False
Mui Mal_ Animal;L.A.V.I;False
Cup Horn;TEN MADISON;False
Am I That Easy To Forget;Carl Belew;False
Vitamina;Sonora Carruseles;False
The Haunting;The Misfits;False
"""All or Nothin Gal""";Jessie Lee Miller;False
Some Kind Of Zomie (Criscoteque Remix);Audio Adrenaline;False
A Veces Halo De Ti;Tito Allen;False
Old Fashioned Bay;Pee Wee Crayton;False
Just Say Yes;Dickies;False
Faithkeeper_ Part 1;David & Steve Gordon;False
Children Of Love;Aijah;False
Afro Profondo;Daniela Dess\xc3\xac;False
Lihava enkeli;Murskahumppa;False
Killing Me Softly With His Song;CoCo Lee;False
Girl You Need My Love;Doniki;False
Love Theme (The Falling In Love);Burt Bacharach;False
Roller Dery;Leon Russell;False
Are You Ever Gonna Love Me?;Jimmy Wayne;False
Turn Up The Bass;Fast Eddie featuring Kool Rock;False
So deep;Ann Lee;False
Collecting Dust;Life Long Tragedy;False
You Had Me From Hello (Lullay Rendition of Kenny Chesney);Hushaye Bay;False
"""Nothings Clear (Alum Version)""";Ill Nino;False
You Must Do Your Best Tonight / I Represent/Animal Crackers;The Marx Brothers;False
French Suite: A Paris Thing;William Goldstein;False
Oh Scat Mix Up;Tim Exile;False
The Modern World;The Jam;False
"""Im Not A Loser""";Descendents;False
De Paris Un Caallero;Bararito Diez;False
T-Ball and Indian Guides (LP Version);Bill Engvall;False
La Rue Du Baouin;Fran\xc3\xa7oise Hardy - Maurane;False
Big Bounce;David Arkenstone;False
Summer Summer;The Almost;False
"""Bulin (Anita Demo)""";Camp Lo;False
"""Couldnt Stand The Weather""";Stevie Ray Vaughan And Doule Troule;False
In Style;David Johansen;False
"""Closin Moes""";Jeff Massanari Trio;False
Portoello Lass;Harry Lauder;False
Trumansurg Whistle;Gershon Kingsley;False
Reuen James;Kenny Rogers;False
Rock Steady;Bad Company;False
Sporale;Winifred Phillips;False
The Waiting;Zomina & The Skeletones;False
Grey Skies Turn Blue;MxPx;False
Wraparound Shades (Alum);Zumpano;False
"""The Earth Isnt Humming""";Thrice;False
Champion (World);Davol;False
"""Heart Breakin Blues""";"""Cannons Jug Stompers""";False
Year Zero;30 Seconds To Mars;False
Satisfaction;Who Made Who;False
"""I Cant Help Myself""";Tyrone Davis;False
Autofokus;K.I.Z.;False
Tango Andorra;Aimale;False
King Jesus Is My Captain;Birmingham Juilee Singers;False
"""Ive Grown Accustomed To His Face Ive Grown Accustomed To His Face""";Shely Flint;False
Profound Sound (Take Two Alum Version);Ill Harmonics;False
"""Shes My Mary""";Lonnie Johnson;False
"""Livin In a Strain""";Alvin Younglood Hart;False
The Little White Cloud That Cried;The Knightsridge Strings;False
Amor que termin\xc3\x3;Los Solitarios;False
Tell Me What I Want to Hear;The Dils;False
Red Sky;Thrice;False
Symphony No. 7 in A Major_ Op. 92: I. Poco sostenuto - Vivace;Herert von Karajan and Turin RAI Symphony Orchestra;False
Aove The Rainow;Flora Purim;False
Strike While the Iron is Hot;Kenny Neal;False
Shouther to Shouther (Shoulder to Shoulder);Harry Lauder;False
Prem;Joi;False
Suicide;Aceyalone;False
Cariou Lou;Tech N9ne;False
Day Or Night [Live Alum Version];Little Feat;False
El Vino Triste;Los Aut\xc3\xa9nticos Decadentes;False
Wishlist;Pearl Jam;False
Santa Barara;Chaka Demus & Pliers;False
Playoy;Teena Marie;False
"""Jugglin Clown""";Christian Quast;False
Things i say;Wilks;False
Groovitation (Alum Version);Deodato;False
Christmas All The Time (Acoustic);Tom Cochrane;False
Role Model;Steel Pulse;False
Virtuosite Musette;Edouard Duleu;False
Since The Last Time;ARRESTED DEVELOPMENT;False
Michelle (LP Version);Bela Fleck And The Flecktones;False
We\xc2\x4ve Only Just Begun;Bitty McLean;False
Porque Nos Queremos;Los Chichos;False
Ovious ( LP Version );"""Janes Addiction""";False
Frei zu sein;In Extremo;False
Grown & Sexy;DJ Omega;False
Grustnaja;Markscheider Kunst;False
Epaule tattoo (Live 1989);\xc3\x89tienne Daho;False
Goons Lurkin (Instrumental Alum Version);Plies;False
"""Wolf In Sheeps Clothing""";Jeff And Sheri Easter;False
Lost Circles;React;False
Pussy Hole;DJ Nasty;False
El Cumanchero;G\xc3\xcnter Noris;False
El divertido;Orquesta Sulime;False
Blackwood Moth;Milieu;False
Dreaming Of April;Out Of The Grey;False
New Sensation;Snow Patrol;False
For The Good Times;Dart;False
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls;Pelle Carlerg;False
Never Alone;Open Hand;False
Chatterox;Sex Pistols;False
Sporco Ma Distinto;Ennio Morricone;False
Elle Et Moi;Koffi Olomide;False
Columus Stockade Blues;Charlie McCoy;False
Damn That Radio [Live];The Wreckers;False
Camisa Amarela;Gal Costa;False
Style;Enuff Z Nuff;False
"""Its My Party""";Lesley Gore;False
Keep The Circle Around;Inspiral Carpets;False
Wot U Say;Various Production;False
Xiang Zai Le Huo;Eason Chan;False
Birth Of The Falls;Stephen Wareck;False
"""Whatll I Do For Satisfaction (LP Version)""";Johnny Daye;False
Portraying Light With Rainow Colored Crayon;An Cafe;False
For Me This Is Happy;Gene Pitney;False
Ithaki;Peggy Zina;False
Guilty Partner;New Order;False
Delilah;The Sensational Alex Harvey Band;False
La Rosa (Live);Boy Pulido;False
"Let\s Call Him ""Andre";Bruce Rowland;False
Our Lady Of Fatima;Kitty Kallen;False
Syv\xc3\xa4 meri (Oceano);Kari Tapio;False
I Got A Seecret;Redman;False
