track_id;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence
3T7XFffEVFl76njTFOKSsL;1.06e-05;0.192;0.987;0.681;1;0.818;-5.382;1;0.111;103.886;4;0.202
5VKlSohlApanCSQ1YHA1xq;0.923;0.282;0.195;0.546;10;0.122;-16.292;1;0.0373;119.205;4;0.277
7d3iTe7NNJzt4sviLqQmgb;0.0526;0.147;0.983;0.947;9;0.415;-4.797;1;0.237;79.823;4;0.0397
0OsqzEdkrKIz4cMMdFtrvJ;0.0547;0.717;0.8;0.0;1;0.623;-4.925;1;0.281;87.954;4;0.755
4QL6epCx6rlUbDG4TF3sj9;0.00115;0.236;0.964;1.93e-06;0;0.125;-4.993;1;0.0935;185.157;4;0.764
69a3ue3HX6WHfsF8A8JW74;0.0697;0.397;0.359;0.000742;4;0.0566;-13.607;0;0.0315;173.824;4;0.412
5QNj3V5X2Hv8qSnejQ06eO;3.57e-05;0.499;0.923;0.000218;8;0.118;-4.043;1;0.0595;85.011;4;0.777
164TVSjQWkungz9WkJpJ7b;0.11;0.507;0.125;0.334;2;0.109;-19.225;1;0.0384;80.19;4;0.0777
4MBbVTEv2jdJwfgaR1UBxT;0.00697;0.627;0.917;0.00127;1;0.0652;-2.719;0;0.0699;149.963;4;0.706
6jm4W71WFm1NZ9UUa8n3PZ;0.0567;0.857;0.888;0.0;1;0.0598;-6.887;1;0.112;101.577;4;0.778
6bfKh2xikqECjcgirZKx9k;0.155;0.807;0.558;6.56e-05;5;0.108;-10.557;0;0.0348;100.069;4;0.776
1IpEE28rEthmZ0SLTbsUL1;0.229;0.254;0.949;0.207;9;0.36;-7.404;1;0.195;132.546;3;0.271
2l0Bye8zQItfBm8kWd2F0H;0.93;0.365;0.106;0.858;5;0.142;-19.62;1;0.0355;138.764;4;0.0599
4U4OiNBn4ubGDQuny6vOzb;0.00924;0.272;0.827;0.000368;2;0.726;-6.225;1;0.0431;129.961;4;0.378
5fmXkP7wdkB1Nkc6XsdUT4;0.22;0.415;0.685;1.78e-05;10;0.333;-5.917;0;0.0815;184.066;3;0.617
5rzpKPELr6IKTKVcKqLhPt;0.322;0.589;0.554;0.0;11;0.196;-5.228;1;0.0275;118.03;4;0.165
7JVDdtUdfEWz0Qh7z8sEyi;0.431;0.89;0.694;0.41;7;0.0711;-4.94;1;0.0589;98.503;4;0.802
6Wiqv0jLWkUnQqRHa2QR7V;0.243;0.683;0.718;0.0;10;0.0595;-3.23;1;0.0424;105.878;4;0.896
4PtnUQgXnNZ5pBVcRf90yy;0.0197;0.801;0.724;0.0;11;0.0507;-6.571;1;0.0614;104.489;4;0.695
5Vf1qITyXC8vRrKWNQs1iK;0.00395;0.325;0.541;0.0818;1;0.532;-11.454;0;0.034;128.333;4;0.765
32ioj0lDP1J5nB6oZ8GyRv;0.0487;0.742;0.835;0.0;4;0.159;-3.658;0;0.233;182.086;4;0.846
6ZvtWOXpmmvKxBxCngpmXv;0.381;0.699;0.654;1.72e-06;1;0.208;-5.724;1;0.0326;159.816;4;0.595
5ihRh3c9AllrDm9TYENIyy;0.00601;0.656;0.45;0.00427;9;0.0572;-7.368;1;0.0586;140.481;4;0.802
2mOuYdlAW741mK3VlZrigQ;0.0592;0.738;0.671;5.65e-05;11;0.858;-8.074;1;0.361;88.082;4;0.601
0jvoOrQ2AChZVnMXHBBnlS;0.497;0.742;0.475;1.5e-06;7;0.298;-6.943;1;0.182;76.034;4;0.863
2aJZm9Vau6PEY713J6SteL;0.00356;0.471;0.876;0.0134;9;0.346;-6.074;1;0.0515;174.871;4;0.663
6K4ZFnQVQAifI8ix1xQJj2;0.584;0.547;0.212;0.000101;10;0.0836;-17.294;0;0.0381;137.891;4;0.471
3NZJlJemX3mzjf56MqC5ML;0.0368;0.672;0.82;0.000188;11;0.184;-4.456;1;0.0459;120.005;4;0.438
1zzwIjjJSTaKWB4PuuWMeC;0.161;0.593;0.76;0.0;9;0.349;-5.007;1;0.0293;137.012;4;0.562
4oXg7xT4ksBxHTx8PcmSXw;0.0477;0.598;0.854;0.338;1;0.0934;-7.584;1;0.0422;94.458;4;0.844
25MF3OTFSLoiVPf2CyX8uo;0.0823;0.712;0.676;2.59e-06;9;0.0658;-4.853;1;0.0802;156.964;4;0.575
5dcAaA6viLaoW1wq8tJP1u;0.614;0.618;0.0717;0.00181;7;0.115;-24.005;1;0.0705;78.646;4;0.74
7oJXOVieUvG8e9HDRhZGPK;0.0607;0.456;0.956;0.00198;2;0.0728;-3.086;1;0.0423;136.283;4;0.527
6KlBm9gH1FHWb5EEodViFj;0.00154;0.28;0.819;0.828;4;0.112;-4.095;1;0.0391;97.085;4;0.734
60tS5WiirpTSbE8tt3OFB6;0.282;0.544;0.547;0.000506;7;0.284;-12.198;1;0.0383;125.104;4;0.9
2njaX0pIxrqZoAPnA2A01Q;0.277;0.919;0.554;0.0;4;0.284;-8.092;0;0.127;131.416;4;0.814
2NVT1tiPay2ig9ZpdP30tn;0.903;0.681;0.394;0.0416;2;0.0992;-12.175;1;0.0558;205.359;4;0.971
3EpyFNe6d6FOZbRANm8S0q;0.18;0.724;0.814;0.0;8;0.109;-9.155;1;0.38;184.801;4;0.82
1Wf3IsDhBrfWvhbasaBBaW;0.694;0.891;0.439;0.194;9;0.121;-7.192;1;0.0975;123.078;4;0.493
7i4hkMMWTl02apbFoaUEQh;8.93e-05;0.315;0.896;0.0769;11;0.628;-7.242;1;0.253;122.064;4;0.381
1i6qYCyn4sSiFdsYrrPgs0;0.00195;0.683;0.704;0.693;6;0.0833;-9.018;0;0.0413;125.995;4;0.392
6pymOcrCnMuCWdgGVTvUgP;0.0452;0.697;0.709;0.0;5;0.138;-1.917;0;0.0455;134.91;4;0.787
5ZKeFaTzPq2u2Z92XdqM7M;0.635;0.607;0.207;0.0;0;0.197;-11.72;1;0.0247;82.705;4;0.42
6y34pSTyU4j9wxPnTuIzua;0.982;0.359;0.0693;0.942;1;0.108;-21.584;1;0.0378;108.144;4;0.0745
