track_id;href;track_link;track_name;artist;album_name;album_release_year;track_duration;album_image;popularity;is_hot;acousticness;danceability;energy;instrumentalness;key;liveness;loudness;mode;speechiness;tempo;time_signature;valence;clusters_kmeans_8;clusters_kmeans_17
3T7XFffEVFl76njTFOKSsL;https://api.spotify.com/v1/tracks/3T7XFffEVFl76njTFOKSsL;https://open.spotify.com/track/3T7XFffEVFl76njTFOKSsL;Martha Served;I Hate Sally;Don't Worry Lady;2007-06-12;139;https://i.scdn.co/image/ab67616d00001e0201a7d2ece5ad48c620d2872b;1;False;1.06e-05;0.192;0.987;0.681;1;0.818;-5.382;1;0.111;103.886;4;0.202;4;10
5VKlSohlApanCSQ1YHA1xq;https://api.spotify.com/v1/tracks/5VKlSohlApanCSQ1YHA1xq;https://open.spotify.com/track/5VKlSohlApanCSQ1YHA1xq;Zip-A-Dee-Doo-Dah (Song of the South);101 Strings Orchestra;Most Amazing Movie, Musical & TV Themes, Vol.6;2022-10-07;200;https://i.scdn.co/image/ab67616d00001e0234180b04c2adfb28fb2b8164;1;False;0.923;0.282;0.195;0.546;10;0.122;-16.292;1;0.0373;119.205;4;0.277;5;5
7d3iTe7NNJzt4sviLqQmgb;https://api.spotify.com/v1/tracks/7d3iTe7NNJzt4sviLqQmgb;https://open.spotify.com/track/7d3iTe7NNJzt4sviLqQmgb;Misery Path - From the Privilege of Evil;Amorphis;Karelian Isthmus;1992-11-01;255;https://i.scdn.co/image/ab67616d00001e0255f6d77fd9d20f34410ce66e;10;False;0.0526;0.147;0.983;0.947;9;0.415;-4.797;1;0.237;79.823;4;0.0397;0;10
0OsqzEdkrKIz4cMMdFtrvJ;https://api.spotify.com/v1/tracks/0OsqzEdkrKIz4cMMdFtrvJ;https://open.spotify.com/track/0OsqzEdkrKIz4cMMdFtrvJ;Nuovi Re, Pt. I I (feat. Tek Money - Lady Tambler);Inoki;Nobiltà di strada;2007-02-16;259;https://i.scdn.co/image/ab67616d00001e022d85b565affa0a6d54098c7f;8;False;0.0547;0.717;0.8;0.0;1;0.623;-4.925;1;0.281;87.954;4;0.755;2;8
4QL6epCx6rlUbDG4TF3sj9;https://api.spotify.com/v1/tracks/4QL6epCx6rlUbDG4TF3sj9;https://open.spotify.com/track/4QL6epCx6rlUbDG4TF3sj9;Halloween;Dead Kennedys;Plastic Surgery Disasters/In God We Trust, Inc.;2001;215;https://i.scdn.co/image/ab67616d00001e02af5c4ff7aec50efc0b1d85db;41;False;0.00115;0.236;0.964;1.93e-06;0;0.125;-4.993;1;0.0935;185.157;4;0.764;4;4
69a3ue3HX6WHfsF8A8JW74;https://api.spotify.com/v1/tracks/69a3ue3HX6WHfsF8A8JW74;https://open.spotify.com/track/69a3ue3HX6WHfsF8A8JW74;Parto em Terras Distantes;Various Artists;Novas Vos Trago;1998-07-20;316;https://i.scdn.co/image/ab67616d00001e022070af52dc44e6b2d5c5cf6c;0;False;0.0697;0.397;0.359;0.000742;4;0.0566;-13.607;0;0.0315;173.824;4;0.412;6;9
5QNj3V5X2Hv8qSnejQ06eO;https://api.spotify.com/v1/tracks/5QNj3V5X2Hv8qSnejQ06eO;https://open.spotify.com/track/5QNj3V5X2Hv8qSnejQ06eO;What Drives the Weak;Shadows Fall;The War Within;2004-07-13;284;https://i.scdn.co/image/ab67616d00001e023445b186586d5cdff8973c32;34;False;3.57e-05;0.499;0.923;0.000218;8;0.118;-4.043;1;0.0595;85.011;4;0.777;2;16
164TVSjQWkungz9WkJpJ7b;https://api.spotify.com/v1/tracks/164TVSjQWkungz9WkJpJ7b;https://open.spotify.com/track/164TVSjQWkungz9WkJpJ7b;Life Force;Vanessa Daou;Joe Sent Me;2008;233;https://i.scdn.co/image/ab67616d00001e020df02c8aa445538e34b73353;0;False;0.11;0.507;0.125;0.334;2;0.109;-19.225;1;0.0384;80.19;4;0.0777;1;13
4MBbVTEv2jdJwfgaR1UBxT;https://api.spotify.com/v1/tracks/4MBbVTEv2jdJwfgaR1UBxT;https://open.spotify.com/track/4MBbVTEv2jdJwfgaR1UBxT;The Dance Of Europe;Dave Brockie Experience;Diarrhea of a Madman;2001-03-20;137;https://i.scdn.co/image/ab67616d00001e02a14db744b39513eb68b38897;7;False;0.00697;0.627;0.917;0.00127;1;0.0652;-2.719;0;0.0699;149.963;4;0.706;3;3
6jm4W71WFm1NZ9UUa8n3PZ;https://api.spotify.com/v1/tracks/6jm4W71WFm1NZ9UUa8n3PZ;https://open.spotify.com/track/6jm4W71WFm1NZ9UUa8n3PZ;Spoonie Is Back;Various Artists;The Sugar Hill Records Story;1997;394;https://i.scdn.co/image/ab67616d00001e026aa4a720842fe7fdb53ea314;8;False;0.0567;0.857;0.888;0.0;1;0.0598;-6.887;1;0.112;101.577;4;0.778;2;16
6bfKh2xikqECjcgirZKx9k;https://api.spotify.com/v1/tracks/6bfKh2xikqECjcgirZKx9k;https://open.spotify.com/track/6bfKh2xikqECjcgirZKx9k;I'm Not Moving - 2015 Remastered;Phil Collins;Face Value (Deluxe Editon);1981-01-01;155;https://i.scdn.co/image/ab67616d00001e02f6954c1f074f66907a8c5483;34;False;0.155;0.807;0.558;6.56e-05;5;0.108;-10.557;0;0.0348;100.069;4;0.776;3;3
1IpEE28rEthmZ0SLTbsUL1;https://api.spotify.com/v1/tracks/1IpEE28rEthmZ0SLTbsUL1;https://open.spotify.com/track/1IpEE28rEthmZ0SLTbsUL1;Radar For Love;KISS;Asylum;1985-09-16;241;https://i.scdn.co/image/ab67616d00001e02183df21350090014d47e5386;24;False;0.229;0.254;0.949;0.207;9;0.36;-7.404;1;0.195;132.546;3;0.271;4;15
2l0Bye8zQItfBm8kWd2F0H;https://api.spotify.com/v1/tracks/2l0Bye8zQItfBm8kWd2F0H;https://open.spotify.com/track/2l0Bye8zQItfBm8kWd2F0H;Antarctica Starts Here;John Cale;Paris 1919;1973-02-25;167;https://i.scdn.co/image/ab67616d00001e02795ab2f58fc8d94ffd01d5bf;28;False;0.93;0.365;0.106;0.858;5;0.142;-19.62;1;0.0355;138.764;4;0.0599;5;5
4U4OiNBn4ubGDQuny6vOzb;https://api.spotify.com/v1/tracks/4U4OiNBn4ubGDQuny6vOzb;https://open.spotify.com/track/4U4OiNBn4ubGDQuny6vOzb;Out in the Street - Live;UFO;Strangers in the Night (Live) [2008 Remaster];1979-01-29;314;https://i.scdn.co/image/ab67616d00001e026e1838dd1521f5b1484aed2a;21;False;0.00924;0.272;0.827;0.000368;2;0.726;-6.225;1;0.0431;129.961;4;0.378;4;15
5fmXkP7wdkB1Nkc6XsdUT4;https://api.spotify.com/v1/tracks/5fmXkP7wdkB1Nkc6XsdUT4;https://open.spotify.com/track/5fmXkP7wdkB1Nkc6XsdUT4;Everyone Make Love;Cool Cavemen;Multipolar;2013-10-14;235;https://i.scdn.co/image/ab67616d00001e02bcf6718233cf3e02719cbd7d;0;False;0.22;0.415;0.685;1.78e-05;10;0.333;-5.917;0;0.0815;184.066;3;0.617;4;9
5rzpKPELr6IKTKVcKqLhPt;https://api.spotify.com/v1/tracks/5rzpKPELr6IKTKVcKqLhPt;https://open.spotify.com/track/5rzpKPELr6IKTKVcKqLhPt;Calm Da Seas;Dave Hollister;Witness Protection;2008-08-01;258;https://i.scdn.co/image/ab67616d00001e02be4c0273615eb17cb6918388;9;False;0.322;0.589;0.554;0.0;11;0.196;-5.228;1;0.0275;118.03;4;0.165;1;12
